secs, nsecs, belief, value
138,358000000,,KnowsTargetLocationFalse
138,635000000,,KnowsTargetLocationFalse
139,9000000,,KnowsTargetLocationFalse
139,243000000,,ObstacleOnTheWayMissing
139,264000000,,ObstacleOnTheWayUpdating
139,379000000,,KnowsTargetLocationFalse
139,690000000,,KnowsTargetLocationFalse
139,975000000,,KnowsTargetLocationFalse
140,268000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
140,285000000,,KnowsTargetLocationFalse
140,587000000,,KnowsTargetLocationFalse
140,959000000,,KnowsTargetLocationFalse
141,65000000,,CameraUpFalse
141,275000000,,ObstacleOnTheWayMissing
141,302000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
141,568000000,,CameraDownTrue
141,737000000,,ObstacleOnTheWayFalse
142,93000000,,ObstacleOnTheWayFalse
142,338000000,,KnowsTargetLocationMissing
142,385000000,,ObstacleOnTheWayFalse
142,659000000,,ObstacleOnTheWayFalse
143,115000000,,ObstacleOnTheWayFalse
143,364000000,,KnowsTargetLocationMissing
143,376000000,,KnowsTargetLocationUpdating
143,356000000,,ObstacleOnTheWayFalse
143,810000000,,ObstacleOnTheWayFalse
144,171000000,,ObstacleOnTheWayFalse
144,383000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
144,470000000,,ObstacleOnTheWayFalse
144,879000000,,ObstacleOnTheWayFalse
145,140000000,,ObstacleOnTheWayFalse
145,165000000,,CameraDownFalse
145,402000000,,KnowsTargetLocationMissing
145,418000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
145,670000000,,CameraUpTrue
145,816000000,,KnowsTargetLocationFalse
146,133000000,,KnowsTargetLocationFalse
146,427000000,,ObstacleOnTheWayMissing
146,455000000,,KnowsTargetLocationFalse
146,909000000,,KnowsTargetLocationFalse
147,272000000,,KnowsTargetLocationFalse
147,458000000,,ObstacleOnTheWayMissing
