secs, nsecs, belief, value
118,966000000,,Obstacle_700.66922451613,0.0838438340877,-0.0387673387301,0.675569499057
119,52000000,,Obstacle_210.68945566502,0.0840935565065,-0.0387752367446,0.695646720153
119,230000000,,ObstacleOnTheWayTrue
119,391000000,,Obstacle_700.66922451613,0.0838438340877,-0.0387673387301,0.675569499057
119,581000000,,ObstacleOnTheWayTrue
119,634000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
119,779000000,,ObstacleOnTheWayFalse
119,779000000,,CameraDownFalse
120,280000000,,CameraUpTrue
120,485000000,,KnowsTargetLocationFalse
120,659000000,,KnowsTargetLocationTrue
120,987000000,,KnowsTargetLocationTrue
121,299000000,,KnowsTargetLocationTrue
121,563000000,,KnowsTargetLocationTrue
121,839000000,,KnowsTargetLocationTrue
122,166000000,,KnowsTargetLocationTrue
122,543000000,,KnowsTargetLocationTrue
122,904000000,,KnowsTargetLocationTrue
123,233000000,,KnowsTargetLocationTrue
123,649000000,,KnowsTargetLocationTrue
124,5000000,,KnowsTargetLocationTrue
124,321000000,,KnowsTargetLocationTrue
124,680000000,,KnowsTargetLocationTrue
124,772000000,,ObstacleOnTheWayMissing
124,793000000,,ObstacleOnTheWayUpdating
125,18000000,,KnowsTargetLocationTrue
125,400000000,,KnowsTargetLocationTrue
125,716000000,,KnowsTargetLocationTrue
125,804000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
126,76000000,,KnowsTargetLocationTrue
126,567000000,,KnowsTargetLocationTrue
126,647000000,,CameraUpFalse
127,147000000,,CameraDownTrue
127,277000000,,ObstacleOnTheWayFalse
127,626000000,,ObstacleOnTheWayFalse
127,944000000,,ObstacleOnTheWayTrue
127,946000000,,Obstacle_161.31743006022,0.0764372825502,-0.0358675362516,1.32013298644
128,190000000,,Obstacle_161.31743006022,0.0764372825502,-0.0358675362516,1.32013298644
128,375000000,,ObstacleOnTheWayTrue
128,521000000,,Obstacle_161.31743006022,0.0764372825502,-0.0358675362516,1.32013298644
128,667000000,,ObstacleOnTheWayTrue
128,740000000,,Obstacle_161.1808524086,0.0746838635016,-0.034537607679,1.18371573307
129,65000000,,ObstacleOnTheWayTrue
129,65000000,,Obstacle_161.1808524086,0.0746838635016,-0.034537607679,1.18371573307
129,376000000,,ObstacleOnTheWayTrue
129,380000000,,Obstacle_161.11534535978,0.0769684711372,-0.0373259502846,1.11862086683
129,622000000,,Obstacle_161.11534535978,0.0769684711372,-0.0373259502846,1.11862086683
129,774000000,,ObstacleOnTheWayTrue
129,875000000,,Obstacle_161.04015467286,0.0758368041062,-0.0375376318647,1.04359093429
130,61000000,,ObstacleOnTheWayTrue
130,223000000,,Obstacle_161.04015467286,0.0758368041062,-0.0375376318647,1.04359093429
130,370000000,,ObstacleOnTheWayTrue
130,458000000,,Obstacle_160.948932490875,0.075256939174,-0.0361642423699,1.04359093429
130,718000000,,ObstacleOnTheWayTrue
130,726000000,,Obstacle_160.948932490875,0.075256939174,-0.0361642423699,0.95259872536
130,942000000,,KnowsTargetLocationMissing
130,946000000,,KnowsTargetLocationUpdating
130,980000000,,Obstacle_160.870952410736,0.0750799838676,-0.0359698252985,0.95259872536
131,127000000,,ObstacleOnTheWayTrue
