secs, nsecs, belief, value
110,315000000,,Obstacle_201.02039139228,0.0861171664619,-0.0361995752629,1.02465856218
110,488000000,,ObstacleOnTheWayTrue
110,566000000,,Obstacle_190.974108082753,0.0874636645355,-0.0359122599842,0.978685925063
110,650000000,,Obstacle_200.943300917786,0.085497989382,-0.0359773837209,1.02465856218
110,753000000,,CameraDownFalse
110,787000000,,ObstacleOnTheWayTrue
110,877000000,,Obstacle_190.974108082753,0.0874636645355,-0.0359122599842,0.978685925063
110,963000000,,Obstacle_200.943300917786,0.085497989382,-0.0359773837209,0.9478506738
111,46000000,,ObstacleOnTheWayTrue
111,46000000,,Obstacle_190.891523705983,0.085295522577,-0.0352271918896,0.896287230496
111,155000000,,Obstacle_200.943300917786,0.085497989382,-0.0359773837209,0.9478506738
111,253000000,,CameraUpTrue
111,307000000,,Obstacle_190.891523705983,0.085295522577,-0.0352271918896,0.896287230496
111,407000000,,ObstacleOnTheWayTrue
111,416000000,,Obstacle_200.943300917786,0.085497989382,-0.0359773837209,0.9478506738
111,571000000,,KnowsTargetLocationTrue
111,704000000,,ObstacleOnTheWayTrue
111,739000000,,Obstacle_190.891523705983,0.085295522577,-0.0352271918896,0.896287230496
111,931000000,,KnowsTargetLocationTrue
112,282000000,,KnowsTargetLocationTrue
112,591000000,,KnowsTargetLocationTrue
112,858000000,,KnowsTargetLocationTrue
112,986000000,,ObstacleOnTheWayMissing
113,1000000,,ObstacleOnTheWayUpdating
113,327000000,,KnowsTargetLocationTrue
113,687000000,,KnowsTargetLocationTrue
114,17000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
114,43000000,,KnowsTargetLocationTrue
114,406000000,,KnowsTargetLocationTrue
114,717000000,,KnowsTargetLocationTrue
114,835000000,,CameraUpFalse
115,24000000,,ObstacleOnTheWayMissing
115,47000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
115,337000000,,CameraDownTrue
115,525000000,,ObstacleOnTheWayFalse
115,806000000,,ObstacleOnTheWayTrue
115,806000000,,Obstacle_211.09785191997,0.0838197823072,-0.0360810130591,1.10163806833
116,124000000,,ObstacleOnTheWayTrue
116,142000000,,Obstacle_211.09785191997,0.0838197823072,-0.0360810130591,1.10163806833
116,370000000,,Obstacle_211.02185565334,0.0817873272484,-0.0358548853047,1.02575031853
116,549000000,,ObstacleOnTheWayTrue
116,678000000,,Obstacle_211.02185565334,0.0817873272484,-0.0358548853047,1.02575031853
116,844000000,,ObstacleOnTheWayTrue
116,951000000,,Obstacle_210.926967620742,0.0852665171443,-0.0358843011037,1.02575031853
117,136000000,,Obstacle_210.926967620742,0.0852665171443,-0.0358843011037,0.931572343898
117,311000000,,ObstacleOnTheWayTrue
117,367000000,,Obstacle_210.926967620742,0.0852665171443,-0.0358843011037,0.931572343898
117,533000000,,ObstacleOnTheWayTrue
117,561000000,,Obstacle_210.926967620742,0.0852665171443,-0.0358843011037,0.931572343898
117,842000000,,ObstacleOnTheWayTrue
117,856000000,,Obstacle_200.852117172692,0.0815137913476,-0.0360442692828,0.856765640957
117,953000000,,Obstacle_210.840402863573,0.0838487457505,-0.0375344307431,0.84540902453
118,290000000,,ObstacleOnTheWayTrue
118,304000000,,Obstacle_200.852117172692,0.0815137913476,-0.0360442692828,0.856765640957
118,494000000,,Obstacle_210.781658784803,0.0827042851134,-0.0359633872672,0.786844215751
118,670000000,,ObstacleOnTheWayTrue
118,748000000,,Obstacle_160.754789142396,0.0835553347901,-0.0375600138892,0.760328151586
118,837000000,,Obstacle_210.70463616747,0.0834296941526,-0.0388214854397,0.710619272258
118,959000000,,ObstacleOnTheWayTrue
119,188000000,,KnowsTargetLocationMissing
