Batch, World, Method, Experiment, #obstacles passed, #obstacles identified, #targets passed, #targets identified,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b11,w2,APBITE 1.0-1.0,s9,10,6,1,0,X,V,V,V,V,X,V,X,V,X,X,O,O
b11,w2,APBITE 1.0-1.0,s15,10,4,1,0,X,V,V,V,V,X,X,X,X,X,X,O,O
b11,w2,APBITE 1.0-1.0,s2,10,7,1,0,V,V,V,X,V,X,X,V,V,V,X,O,O
b11,w2,APBITE 1.0-1.0,s4,10,7,1,0,V,V,V,V,V,X,X,V,X,V,X,O,O
b11,w2,APBITE 1.0-1.0,s7,10,7,1,1,V,V,V,X,V,X,V,V,V,X,V,O,O
b11,w2,APBITE 1.0-1.0,s11,10,7,1,0,X,V,V,V,V,X,X,V,V,V,X,O,O
b11,w2,APBITE 1.0-1.0,s3,10,4,1,0,X,V,X,X,V,X,X,V,X,V,X,O,O
b11,w2,APBITE 1.0-1.0,s5,10,4,1,0,V,X,V,V,V,X,X,X,X,X,X,O,O
b11,w2,APBITE 1.0-1.0,s13,10,6,1,0,X,V,V,V,V,X,X,X,V,V,X,O,O
b11,w2,APBITE 1.0-1.0,s8,10,8,1,0,V,V,V,V,V,X,V,X,V,V,X,O,O
b11,w2,APBITE 4.0-4.0,s9,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b11,w2,APBITE 4.0-4.0,s8,10,5,1,1,V,X,V,V,V,X,X,X,V,X,V,O,O
b11,w2,APBITE 4.0-4.0,s1,10,7,1,1,X,V,V,V,V,X,V,V,V,X,V,O,O
b11,w2,APBITE 4.0-4.0,s5,10,6,1,1,X,V,V,V,V,X,X,V,X,V,V,O,O
b11,w2,APBITE 4.0-4.0,s0,10,4,1,0,V,X,V,V,X,X,V,X,X,X,X,O,O
b11,w2,APBITE 4.0-4.0,s13,10,5,1,1,X,X,V,V,V,X,X,X,V,V,V,O,O
b11,w2,APBITE 4.0-4.0,s14,10,6,1,1,V,V,V,X,V,X,X,X,V,V,V,O,O
b11,w2,APBITE 4.0-4.0,s7,10,8,1,1,V,V,V,V,V,X,X,V,V,V,V,O,O
b11,w2,APBITE 4.0-4.0,s2,10,6,1,0,X,V,V,V,V,X,X,X,V,V,X,O,O
b11,w2,APBITE 4.0-4.0,s6,10,6,1,1,X,V,V,V,V,V,X,V,X,X,V,O,O
b11,w2,APBITE 4.0-4.0,s4,10,6,1,0,V,V,V,V,V,X,V,X,X,X,X,O,O
