original_batch,method,density,detection_ratio,Distance,Number_of_obs,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b16_s9_41,41,0.416666666667,0.4,12,5,,V,,,X,V,X,,,X,V,O,O
b16_s7_41,41,0.416666666667,0.4,12,5,,X,V,,,X,V,,,X,V,O,O
b16_s11_41,41,0.416666666667,0.6,12,5,X,V,,,X,,,,V,V,V,O,O
b16_s1_41,41,0.416666666667,0.6,12,5,V,,V,,,,X,X,V,,X,O,O
b16_s15_11,11,0.416666666667,0.6,12,5,X,,V,V,,X,,V,,,V,O,O
b16_s0_11,11,0.416666666667,0.8,12,5,V,V,,V,,,,X,,V,X,O,O
b16_s12_11,11,0.416666666667,0.6,12,5,,X,V,,,X,,,V,V,X,O,O
b16_s9_11,11,0.416666666667,0.6,12,5,V,,,V,,,X,X,V,,V,O,O
b16_s4_11,11,0.416666666667,0.8,12,5,V,,V,,,V,,X,V,,X,O,O
b16_s11_11,11,0.416666666667,1.0,12,5,V,,V,,,,V,V,,V,V,O,O
b16_s3_11,11,0.416666666667,0.4,12,5,,X,V,,,,X,X,,V,X,O,O
b16_s6_11,11,0.416666666667,0.4,12,5,,X,,,,X,V,V,,X,X,O,O
b16_s1_11,11,0.416666666667,0.4,12,5,,X,V,,V,,,,X,X,V,O,O
b16_s8_11,11,0.416666666667,0.4,12,5,X,,V,,X,,,X,,V,V,O,O
b16_s13_11,11,0.416666666667,1.0,12,5,V,,V,V,,V,,,,V,V,O,O
b16_s7_11,11,0.416666666667,0.6,12,5,,,,V,V,X,X,,V,,V,O,O
b16_s2_11,11,0.416666666667,0.8,12,5,,V,V,V,V,X,,,,,V,O,O
b16_s14_11,11,0.416666666667,0.4,12,5,X,V,,,X,X,,,V,,X,O,O
b16_s10_11,11,0.416666666667,0.8,12,5,V,,V,V,,X,,V,,,V,O,O
